Nombre|Apellidos|Carrera|Mensualidad
gegszfbqtjpgofkdb|nqfsavrgyqkvwjaxuqes|lopoenlhuurh|478.225037
kkjtzmwcnmckokqqj|ewgptqawsghnndi|oxwiyzomvun|7527.695312
yojfdjspfqjp|ogtwtexzxveyscckp|yqrsiyzaro|8465.834961
fqknayvempgkp|abwjcaektkvhn|ekcejepyxc|9718.619141
fmrxolqhrbvigdinv|uznhoasywtarvcuch|xsjyjqfxqfxzq|2753.379883
unweuifjobyg|udvilfrzmxcxkpfblkfziq|swxrnhtbkcp|6110.110840
xgqokjswcxjssx|dbnqapwxdisr|safeceztwxgm|4134.342285
cazaderamecxyaqfueg|xveiuqaounklhnwtstjqbr|nnoelocn|3314.615234
vdscsdphqyobeve|qrqnacmytibbexexu|qqyagbevk|2863.856934
stwopcvhutqjpkvsdw|pdkojwhgvbibyqejxt|kxqglzzn|7773.064453
qoumixnpooptoz|nmlhqfpwhmyg|noboybmenuah|4333.323242
jffstgapkb|urwfifavmozk|kkezsabo|3000.885010
vqljmxrkqwzulrafbkt|cxsqebizklpbub|vykyppestsn|9038.361328
ohcwbsouqdkohncesp|yzbvluynlvynsrcqxvam|dkuiefpdzcc|1711.478027
prjizudxepykzfxphin|tzervtftmwxpo|jzcfrzqvrd|5194.250488
mrlynxhebkdq|euojuvkjewsdfnm|mnkqarito|6830.042480
bbngqrombrkagamjmm|pxijarangzgsfluwhshkcuf|ihvpyjzcpu|7640.309082
eahykdjzhvipyehyxp|vhwiithbiqxcoj|cqjdxwp|257.576233
ttwjqnlryneoyseqdl|pcwzvblcparpjgohmfm|tkgmsjjgeha|6563.615723
snidmwqcgwniem|txaeovjyyuqhx|saenwmw|9305.704102
feddwxlrgu|nntlkkaogspzlot|vylgbvxlj|9649.953125
tscmrjsihekrzrjrd|wikzastopaaygjom|lymubchdw|2525.711914
wmbjwvkflczmdxdfehk|vtbmmlwycogx|mepahwrnx|4059.266846
wdboaqlhpzphtgtse|uilukuibdwqksbazucrdia|jnrtzbiutpn|9472.334961
chblrbsgenxs|inxjpxswkcnyticvstrqwc|jgaalgvqvre|7506.027344
jpykqwbdjneccua|mqrtwheqdhrmwjmdztxbwz|qdecskvgw|8138.676270
otnkvezhpbaaleilrm|ynfzywivvidghszzu|mbjomecxwzvr|3800.775146
iuvtqdsvhvwl|gzanalvqwkllbreyx|swzoeilayax|2888.271729
xncibgcoqmsk|ewnfjdpvfqkzizpijvwf|cyzvkoqong|226.447342
tmmfoybvxftk|hbpxxcondvmkxcmpyg|vusynma|5033.417969
obmwrhazsfgquof|zpssegptnejunex|vqudkutcnipev|1379.741821
ytgdcuhllqtpwfsyud|nslmvnmclrwoanc|utcwnfls|4251.838867
xdsqwrrovf|spzhbovtewpbglsquogoh|rhvcevlw|6278.877930
djebpulccyvcdhrmyqo|yinhnmkrgiuhh|oqtcgipru|4594.561523
ajgfxghajr|xeyuzpeumhspfcqauutfu|shptzovodeusy|4688.253418
blryuwuovzuabrdtuwb|pfjrriypqhxfmwf|bgkdygmbygr|2671.895508
lwxelprzcjyt|cicmzifficxqzoajca|zgqzvgoxrjij|7336.955078
wxesuhgiztkybvxwl|wmjvzbnylrrxmbq|fvbkduncvb|6429.029297
bmlgkplrpctiqj|fzzwxuxfhzapf|wcpfpsphhvq|1027.558228
wgsrtnozysj|iyyewunsncynedzqav|pxgflmvemqcce|2166.509033
qmeyqgqbtpfsktuez|euzgdgxeehbagwfpwshdhxg|dpppkcqgpqvh|4608.600098
chnvvxccvwogqoktc|nexzcqdvyzrwfsmnmbe|jyxspqhrwisb|653.401306
xzfcznyjwxriddl|thddgtllticrp|taezfeebl|6618.549316
idivjwuwqaikknjwmel|qskzdgumxtyn|lxausffdv|835.596802
lfqjlfnpshjn|zhaqegmwxnautodoqcl|eltkeoablp|3951.841797
ekkanzckctgmtwmtl|ufzbnyuxmnhwuv|seweiio|1586.657349
edvfdwvhxxxakbyx|intpmtngwfdjqikahelmvdl|yrwyjrblqr|7885.982910
heqirtavfz|nlujrjjtqpltiqbkzncsflz|hcchijieznrs|4491.714355
ffiwayvukkktl|ruqunuszesncgaugekzfji|lgxvnjabxc|9671.315430
evuibqnpchetrzc|nnqvriyyuxuyvjvlynmqvat|bnahtpq|4875.942383
vzlvzbqhmmokd|kwisssdeliipaql|dkalkoa|5986.510742
dfjtlqcfxf|fjaiqawcostvkcmsnoqcrv|wgtyytgqdqyy|6826.380371
cwmpqxpkojwup|oglycgonsjwpeb|tispnrms|9963.072266
lnmpsvqscjfjrliflj|oczhtihznmfp|jwbajdbzfo|5903.805664
ygxbtndyulofde|ybrwzjcxzdepbduvbd|vinywjjkqcesb|8893.704102
ctutnmzpvfxagbpp|vtmmtzlhjcblnenrthkz|idsqafpqhk|8477.736328
miehgveclpuvzk|vedaoftvfmjkxxao|owfxbujyjbtf|2893.459961
ykadcemsarsykhfyfrt|rcoaatfvdmfrrfdfscz|atpzjswdxmr|7517.929688
eortpyrymwoxsxjxec|msveobgbjopnj|xvworxhhwbdd|9626.758789
poeytpqftszbnzfjaw|wnlempytuocjh|tadjxgi|7124.851074
rbsebzoofdxxuijxd|onnsybkbjhowfmcmzzkko|wlwrvqbqiep|8293.405273
deefinwqsngtrp|kkgemmvogsfhpvvnh|mwjsmmlmv|787.072388
zhvvapihvbrgvo|xwuoqpgxxubibyrhe|cjzpwarstsoq|1917.783081
ibceorcugzwi|gsfdxslaovqalnffsdljcek|dlxadkvujfc|3031.403564
cxdlvocsjlgjtztsgj|qqchdbazojcemesq|suuktwuppg|9712.210938
kwzeakgemqs|smsbkdkekzwsriunfta|xylzknrmzrp|1180.150757
qmbrkzntpbj|wjzwrxnxtdfxryxgnat|gphwphpkid|3131.504150
hspbpmyswrzsx|xjuaxpjtqcoyoxbtpaipbi|yovuwnbvfrnz|4321.726074
mwgrsebbjbgjxtlj|tjscuussuqktghdbhc|myjsbwl|9289.833984
emgcoxqgpokazlb|rovmsanyzaxbbcaxpdsyfq|prsqiktggk|9979.857422
owmhjzsykjjxzdulvfq|vifgkbgccmtkzjtn|qmefglylfpffs|5822.016113
wncfpsphsgambzn|vlendqdzbcarucmnej|awjrfuv|1477.095825
rjpcxcaqbnvx|qzblyxctiophvogwfud|blizpxpgfaemx|1903.744629
ogchsvpxumreqblbvn|oeaeyncbtlaguyrnpo|naiwsesv|3901.486328
wtngzjzowbuigp|mmtmxipydqnnjxgmusal|sxrrbxkfdlxhp|2932.828857
